UKM3;22900
UKM5;36200
UKM6;19300
UKN;19000
UKN0;19000
UKZ;NA
UKZZ;NA
EFTA;NA
IS;27200
IS0;NA
IS00;NA
ISZ;NA
ISZZ;NA
LI;NA
LI0;NA
LI00;NA
LIZ;NA
LIZZ;NA
NO;NA
NO0;NA
NO01;NA
NO02;NA
NO03;NA
NO04;NA
NO05;NA
NO06;NA
NO07;NA
NOZ;NA
NOZZ;NA
CH;NA
CH0;NA
CH01;NA
CH02;NA
CH03;NA
CH04;NA
CH05;NA
CH06;NA
CH07;NA
CHZ;NA
CHZZ;NA
HR;10100
HR0;10100
HR01;12700
HR02;7100
HR03;9800
HRZ;NA
HRZZ;NA
MK;3300
MK0;3300
MK00;3300
MK001;NA
MK002;NA
MK003;NA
MK004;NA
MK005;NA
MK006;NA
MK007;NA
MK008;NA
MKZ;NA
MKZZ;NA
TR;NA
TR1;NA
TR10;NA
TR2;NA
TR21;NA
TR22;NA
TR3;NA
TR31;NA
TR32;NA
TR33;NA
TR4;NA
TR41;NA
TR42;NA
TR5;NA
TR51;NA
TR52;NA
TR6;NA
TR61;NA
TR62;NA
TR63;NA
TR7;NA
TR71;NA
TR72;NA
TR8;NA
TR81;NA
TR82;NA
TR83;NA
TR9;NA
TR90;NA
TRA;NA
TRA1;NA
TRA2;NA
TRB;NA
TRB1;NA
TRB2;NA
TRC;NA
TRC1;NA
TRC2;NA
TRC3;NA
TRZ;NA
TRZZ;NA
;
;
;
;
